STATE,UNIT_TYPE,PARKNAME,Shape__Are,mi,km,acres,measure_type
NM,National Monument,Capulin Volcano,4997144.039,,,,
NM,National Monument,Fort Union,4454850.184,,,,
NM,National Monument,Gila Cliff Dwellings,3510361.469,,,,
NM,National Monument,Salinas Pueblo Missions,6379382.594,,,,
NM,National Monument,Aztec Ruins,2004409.125,,,,
NM,National Monument,El Morro,7738012.898,,,,
NM,National Monument,El Malpais,684640705.1,,,,
NM,National Park,Carlsbad Caverns,264914338.1,,,,
NM,National Park,White Sands,850977997.7,,,,
NM,National Preserve,Valles Caldera,550255820.7,,,,
NV,National Monument,Tule Springs Fossil Beds,142174819.4,,,,
NV,National Park,Great Basin,515901035.9,,,,
NY,National Historic Site,Martin Van Buren,2202209.594,,,,
NY,National Historic Site,Eleanor Roosevelt,1291438.352,,,,
NY,National Historic Site,Saint Paul's Church,43929.20313,,,,
NY,National Historic Site,Theodore Roosevelt Inaugural,8874.449219,,,,
NY,National Historic Site,Home of Franklin D Roosevelt,6542741.75,,,,
NY,National Historic Site,Vanderbilt Mansion,1534826.254,,,,
NY,National Historic Site,Theodore Roosevelt Birthplace,745.1484375,,,,
NY,National Historic Site,Sagamore Hill,586867.9688,,,,
NY,National Historical Park,Harriet Tubman,259742.3867,,,,
NY,National Historical Park,Saratoga,26899681.61,,,,
NY,National Historical Park,Women's Rights,56856.82813,,,,
NY,National Memorial,Federal Hall,3743.238281,,,,
NY,National Memorial,General Grant,5124.710938,,,,
NY,National Memorial,Hamilton Grange,12400.37891,,,,
NY,National Monument,Fort Stanwix,127551.0195,,,,
NY,National Monument,Castle Clinton,8988.78125,,,,
NY,National Monument,African Burial Ground,2425.175781,,,,
NY,National Monument,Governors Island,160551.8945,,,,
NY,National Monument,Stonewall,32233.24609,,,,
NY,National Seashore,Fire Island,138877039.1,,,,
NY,National Wild & Scenic River,Upper Delaware,414752036.4,,,,
OH,National Historic Site,First Ladies,3210.136719,,,,
OH,National Historic Site,James A Garfield,56656.24609,,,,
OH,National Historic Site,William Howard Taft,24572.03906,,,,
OH,National Historical Park,Dayton Aviation Heritage,779956.2773,,,,
OH,National Historical Park,Hopewell Culture,12116307.23,,,,
OH,National Memorial,Perry's Victory & International Peace,194081.4219,,,,
OH,National Monument,Charles Young Buffalo Soldiers,410425.2266,,,,
OH,National Park,Cuyahoga Valley,234527745.1,,,,
OK,National Historic Site,Washita Battlefield,1962554.215,,,,
OR,National Historic Site,Fort Vancouver,1723304.836,,,,
OR,National Historical Park,Lewis and Clark,30650699.78,,,,
OR,National Monument,John Day Fossil Beds,111782232.8,,,,
OR,National Monument,Oregon Caves,33332372.05,,,,
OR,National Park,Crater Lake,1379224003,,,,
PA,National Battlefield,Fort Necessity,6290267.137,,,,
PA,National Historic Site,Allegheny Portage Railroad,9165311.438,,,,
PA,National Historic Site,Edgar Allan Poe,3603.226563,,,,
PA,National Historic Site,Friendship Hill,4631731.289,,,,
PA,National Historic Site,Eisenhower,4756910.195,,,,
PA,National Historic Site,Hopewell Furnace,5895031.238,,,,
PA,National Historic Site,Steamtown,436571.7969,,,,
PA,National Historical Park,Independence,298507.3984,,,,
PA,National Historical Park,Valley Forge,23893035.37,,,,
PA,National Memorial,Flight 93,15660815.13,,,,
PA,National Memorial,Johnstown Flood,1253202.758,,,,
PA,National Memorial,Thaddeus Kosciuszko,192.9804688,,,,
PA,National Military Park,Gettysburg,41670785.5,,,,
PR,National Historic Site,San Juan,344663.9209,,,,
RI,National Memorial,Roger Williams,33122.51563,,,,
SC,National Battlefield,Cowpens,5131854.379,,,,
SC,National Historic Site,Ninety Six,5700905.137,,,,
SC,National Historic Site,Charles Pinckney,162342.8301,,,,
SC,National Historical Park,Fort Sumter and Fort Moultrie,1356885.594,,,,
SC,National Historical Park,Reconstruction Era,122108.2891,,,,
SC,National Military Park,Kings Mountain,23836721.11,,,,
SC,National Park,Congaree,157073615,,,,
SD,National Historic Site,Minuteman Missile,339067.4414,,,,
SD,National Memorial,Mount Rushmore,9923432.105,,,,
SD,National Monument,Jewel Cave,9873220.813,,,,
SD,National Park,Badlands,1879080774,,,,
SD,National Park,Wind Cave,261727427.1,,,,
TN,National Battlefield,Stones River,4452463.125,,,,
TN,National Historic Site,Andrew Johnson,102557.4297,,,,
TN,National Wild & Scenic River,Obed,33607609.08,,,,
TX,National Historic Site,Blackwell School,4220.5,,,,
TX,National Historic Site,Fort Davis,2836614.094,,,,
TX,National Historical Park,Lyndon B Johnson,8531423.91,,,,
TX,National Historical Park,San Antonio Missions,5264440.781,,,,
TX,National Historical Park,Palo Alto Battlefield,17236429.87,,,,
TX,National Memorial,Chamizal,306416.6953,,,,
TX,National Monument,Alibates Flint Quarries,8414268.395,,,,
TX,National Monument,Waco Mammoth,600048.4727,,,,
TX,National Park,Big Bend,4329893757,,,,
TX,National Park,Guadalupe Mountains,491447397.7,,,,
TX,National Preserve,Big Thicket,617771864.4,,,,
TX,National Recreation Area,Amistad,330976091.6,,,,
TX,National Recreation Area,Lake Meredith,255197279.8,,,,
TX,National Seashore,Padre Island,668799343.6,,,,
TX,National Wild & Scenic River,Rio Grande,118186366.3,,,,
UT,National Historical Park,Golden Spike,19348834.81,,,,
UT,National Monument,Natural Bridges,49150258.41,,,,
UT,National Monument,Rainbow Bridge,1018636.977,,,,
UT,National Monument,Cedar Breaks,39592554.84,,,,
UT,National Monument,Timpanogos Cave,1747594.641,,,,
UT,National Park,Canyonlands,2196490657,,,,
UT,National Park,Arches,509081047.5,,,,
UT,National Park,Bryce Canyon,232305570.9,,,,
UT,National Park,Capitol Reef,1605721879,,,,
UT,National Park,Zion,952718697.9,,,,
VA,National Battlefield,Petersburg,17776168.91,,,,
VA,National Battlefield Park,Manassas,34215862.96,,,,
VA,National Battlefield Park,Richmond,52827864.71,,,,
VA,National Historic Site,Maggie L. Walker,8394.625,,,,
VA,National Historical Park,Appomattox Court House,11419907.19,,,,
VA,National Historical Park,Cedar Creek & Belle Grove,23282831.51,,,,
VA,National Historical Park,Colonial,54414975.55,,,,
VA,National Memorial,"Arlington House, The Robert E. Lee Memorial",114601.207,,,,
VA,National Military Park,Fredericksburg & Spotsylvania,60945548.85,,,,
